# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Jul  8 18:53:06 CEST 2020
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: chabrier_lognormal_salpeter 
# Kind of output: isochrone tables
# Zin   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 6.00000 0.5511864424 2.4389119148    0.551 -0.132  3.5845  3.601    0 5.099 9.269 7.720 6.412 5.497 4.502 3.446 2.637 2.484
0.0152 6.00000 0.5714626312 2.4533314705    0.571 -0.105  3.5888  3.607    0 5.032 9.152 7.591 6.285 5.381 4.424 3.390 2.585 2.437
0.0152 6.00000 0.5928860307 2.4675841331    0.593 -0.077  3.5936  3.614    0 4.962 9.019 7.450 6.150 5.259 4.344 3.332 2.534 2.392
0.0152 6.00000 0.6000000238 2.4721109867    0.600 -0.067  3.5953  3.616    0 4.937 8.972 7.401 6.103 5.217 4.316 3.312 2.516 2.376
0.0152 6.00000 0.6135630608 2.4804749489    0.613 -0.051  3.5978  3.620    0 4.898 8.898 7.324 6.030 5.150 4.271 3.279 2.487 2.350
0.0152 6.00000 0.6360216737 2.4936041832    0.636 -0.024  3.6023  3.627    0 4.831 8.765 7.193 5.906 5.038 4.196 3.223 2.439 2.306
0.0152 6.00000 0.6499999762 2.5013408661    0.650 -0.008  3.6052  3.631    0 4.789 8.678 7.110 5.829 4.968 4.149 3.189 2.410 2.280
0.0152 6.00000 0.6630716920 2.5082893372    0.663  0.008  3.6075  3.634    0 4.751 8.603 7.039 5.764 4.908 4.108 3.157 2.383 2.255
0.0152 6.00000 0.6878327727 2.5207493305    0.688  0.037  3.6122  3.639    0 4.678 8.456 6.902 5.638 4.794 4.028 3.095 2.330 2.207
0.0152 6.00000 0.7000000477 2.5265583992    0.700  0.051  3.6145  3.642    0 4.642 8.381 6.835 5.576 4.738 3.988 3.065 2.304 2.184
0.0152 6.00000 0.7315324545 2.5407404900    0.732  0.100  3.6271  3.662    0 4.519 8.030 6.546 5.325 4.517 3.850 2.973 2.242 2.133
0.0152 6.00000 0.7500000000 2.5485093594    0.750  0.131  3.6347  3.673    0 4.443 7.789 6.368 5.175 4.389 3.765 2.917 2.208 2.105
0.0152 6.00000 0.7839070559 2.5618479252    0.784  0.161  3.6385  3.677    0 4.367 7.624 6.240 5.062 4.287 3.684 2.850 2.153 2.052
0.0152 6.00000 0.8000000119 2.5677938461    0.800  0.175  3.6403  3.679    0 4.332 7.547 6.181 5.010 4.241 3.647 2.820 2.129 2.029
0.0152 6.00000 0.8314546943 2.5787403584    0.831  0.201  3.6436  3.683    0 4.267 7.403 6.073 4.916 4.159 3.578 2.764 2.083 1.986
0.0152 6.00000 0.8500000238 2.5848057270    0.850  0.218  3.6455  3.684    0 4.226 7.315 6.006 4.859 4.108 3.535 2.728 2.053 1.958
0.0152 6.00000 0.8720743656 2.5916805267    0.872  0.236  3.6476  3.685    0 4.181 7.219 5.934 4.795 4.052 3.488 2.689 2.021 1.926
0.0152 6.00000 0.9000000358 2.5998830795    0.899  0.258  3.6503  3.688    0 4.126 7.098 5.843 4.717 3.983 3.430 2.641 1.982 1.889
0.0152 6.00000 0.9043192267 2.6011054516    0.904  0.261  3.6507  3.688    0 4.118 7.081 5.830 4.706 3.974 3.422 2.635 1.976 1.884
0.0152 6.00000 0.9500000477 2.6133363247    0.950  0.296  3.6548  3.691    0 4.031 6.891 5.689 4.585 3.869 3.331 2.559 1.915 1.825
0.0152 6.00000 0.9786885381 2.6204199791    0.979  0.316  3.6571  3.693    0 3.980 6.782 5.608 4.515 3.809 3.278 2.514 1.879 1.790
0.0152 6.00000 1.0000000000 2.6254127026    1.000  0.331  3.6589  3.694    0 3.941 6.698 5.546 4.461 3.762 3.237 2.480 1.851 1.763
0.0152 6.00000 1.0174551010 2.6293323040    1.017  0.343  3.6602  3.695    0 3.912 6.636 5.500 4.421 3.727 3.207 2.455 1.830 1.743
0.0152 6.00000 1.0499999523 2.6362330914    1.050  0.365  3.6627  3.697    0 3.858 6.523 5.415 4.348 3.664 3.150 2.407 1.791 1.705
0.0152 6.00000 1.0586736202 2.6379883289    1.058  0.370  3.6633  3.697    0 3.844 6.496 5.395 4.330 3.649 3.136 2.396 1.781 1.696
0.0152 6.00000 1.1000000238 2.6459071636    1.099  0.398  3.6663  3.698    0 3.775 6.357 5.290 4.239 3.569 3.064 2.335 1.730 1.647
0.0152 6.00000 1.1499999762 2.6546003819    1.149  0.429  3.6696  3.700    0 3.698 6.202 5.173 4.138 3.481 2.985 2.267 1.674 1.593
0.0152 6.00000 1.1768558025 2.6589131355    1.176  0.444  3.6713  3.702    0 3.660 6.126 5.115 4.088 3.438 2.946 2.234 1.647 1.566
0.0152 6.00000 1.2000000477 2.6624486446    1.200  0.457  3.6728  3.703    0 3.627 6.060 5.066 4.046 3.401 2.912 2.206 1.623 1.543
0.0152 6.00000 1.2070392370 2.6634922028    1.207  0.461  3.6732  3.703    0 3.618 6.042 5.053 4.034 3.391 2.903 2.198 1.617 1.537
0.0152 6.00000 1.2500000000 2.6695642471    1.250  0.486  3.6757  3.704    0 3.556 5.922 4.962 3.954 3.321 2.839 2.144 1.570 1.493
0.0152 6.00000 1.2999999523 2.6760413647    1.300  0.513  3.6785  3.705    0 3.488 5.791 4.862 3.868 3.245 2.770 2.084 1.520 1.444
0.0152 6.00000 1.3500001431 2.6819584370    1.350  0.538  3.6811  3.707    0 3.424 5.671 4.771 3.788 3.175 2.705 2.029 1.473 1.399
0.0152 6.00000 1.3874758482 2.6860663891    1.388  0.557  3.6830  3.707    0 3.378 5.587 4.706 3.730 3.124 2.658 1.989 1.439 1.365
0.0152 6.00000 1.4000000954 2.6873817444    1.400  0.563  3.6836  3.708    0 3.363 5.559 4.684 3.711 3.107 2.643 1.975 1.427 1.354
0.0152 6.00000 1.4066027403 2.6880643368    1.407  0.566  3.6839  3.708    0 3.355 5.545 4.673 3.702 3.099 2.635 1.969 1.422 1.348
0.0152 6.00000 1.4500000477 2.6923685074    1.450  0.588  3.6860  3.707    0 3.300 5.448 4.597 3.634 3.038 2.579 1.920 1.379 1.306
0.0152 6.00000 1.5000000000 2.6969668865    1.500  0.610  3.6882  3.709    0 3.244 5.347 4.519 3.566 2.977 2.523 1.872 1.338 1.266
0.0152 6.00000 1.5212850571 2.6988170147    1.521  0.620  3.6892  3.709    0 3.221 5.305 4.486 3.536 2.951 2.499 1.851 1.320 1.249
0.0152 6.00000 1.5500001907 2.7012188435    1.550  0.633  3.6904  3.709    0 3.188 5.246 4.440 3.496 2.915 2.466 1.822 1.295 1.224
0.0152 6.00000 1.5620890856 2.7021989822    1.562  0.638  3.6909  3.709    0 3.174 5.223 4.423 3.480 2.901 2.453 1.810 1.285 1.215
0.0152 6.00000 1.6000000238 2.7051601410    1.600  0.655  3.6925  3.709    0 3.133 5.151 4.367 3.431 2.857 2.411 1.774 1.254 1.184
0.0152 6.00000 1.6017144918 2.7052900791    1.601  0.655  3.6925  3.709    0 3.131 5.148 4.364 3.429 2.855 2.409 1.773 1.253 1.183
0.0152 6.00000 1.6500000954 2.7088222504    1.649  0.676  3.6945  3.709    0 3.079 5.057 4.293 3.366 2.799 2.357 1.727 1.213 1.144
0.0152 6.00000 1.7000000477 2.7122325897    1.699  0.699  3.6964  3.706    0 3.022 4.962 4.218 3.299 2.738 2.300 1.676 1.168 1.100
0.0152 6.00000 1.7500000000 2.7154150009    1.749  0.718  3.6982  3.707    0 2.974 4.877 4.153 3.241 2.686 2.252 1.635 1.132 1.065
0.0152 6.00000 1.7639206648 2.7162635326    1.763  0.724  3.6987  3.707    0 2.960 4.853 4.134 3.224 2.671 2.237 1.622 1.121 1.054
0.0152 6.00000 1.8000000715 2.7183909416    1.799  0.739  3.7000  3.706    0 2.922 4.789 4.084 3.179 2.631 2.200 1.589 1.091 1.025
0.0152 6.00000 1.8500000238 2.7211785316    1.849  0.760  3.7018  3.704    0 2.870 4.706 4.017 3.120 2.576 2.149 1.544 1.051 0.986
0.0152 6.00000 1.9000000954 2.7237946987    1.899  0.779  3.7035  3.704    0 2.823 4.627 3.955 3.065 2.526 2.102 1.503 1.015 0.950
0.0152 6.00000 1.9087167978 2.7242343426    1.908  0.782  3.7038  3.704    0 2.816 4.615 3.945 3.056 2.518 2.094 1.496 1.009 0.945
0.0152 6.00000 1.9500001669 2.7262537479    1.950  0.799  3.7051  3.702    0 2.774 4.547 3.891 3.007 2.474 2.052 1.459 0.975 0.912
0.0152 6.00000 2.0000000000 2.7285690308    2.000  0.819  3.7067  3.699    0 2.721 4.465 3.825 2.948 2.419 2.001 1.412 0.933 0.871
0.0152 6.00000 2.0499999523 2.7307522297    2.050  0.836  3.7083  3.699    0 2.681 4.395 3.770 2.899 2.376 1.960 1.377 0.903 0.841
0.0152 6.00000 2.0638675690 2.7313358784    2.063  0.842  3.7088  3.698    0 2.666 4.372 3.752 2.883 2.360 1.946 1.364 0.891 0.829
0.0152 6.00000 2.0999999046 2.7328138351    2.099  0.858  3.7099  3.694    0 2.625 4.311 3.702 2.837 2.318 1.905 1.327 0.857 0.796
0.0152 6.00000 2.1500000954 2.7347631454    2.149  0.875  3.7114  3.693    0 2.584 4.242 3.647 2.789 2.274 1.864 1.291 0.826 0.765
0.0152 6.00000 2.1717963219 2.7355802059    2.170  0.883  3.7121  3.692    0 2.564 4.211 3.622 2.766 2.253 1.844 1.274 0.810 0.750
0.0152 6.00000 2.2000000477 2.7366089821    2.199  0.895  3.7129  3.689    0 2.532 4.164 3.584 2.731 2.220 1.813 1.245 0.784 0.724
0.0152 6.00000 2.2500000000 2.7383584976    2.249  0.913  3.7144  3.686    0 2.487 4.093 3.527 2.680 2.173 1.768 1.205 0.749 0.689
0.0152 6.00000 2.2999999523 2.7400190830    2.299  0.932  3.7159  3.683    0 2.440 4.020 3.468 2.627 2.124 1.722 1.164 0.712 0.653
0.0152 6.00000 2.4000000954 2.7430980206    2.399  0.971  3.7189  3.675    0 2.343 3.871 3.347 2.517 2.023 1.626 1.078 0.634 0.576
0.0152 6.00000 2.4835164547 2.7454473972    2.483  0.999  3.7215  3.672    0 2.273 3.759 3.258 2.438 1.951 1.558 1.018 0.582 0.525
0.0152 6.00000 2.5999999046 2.7484302521    2.600  1.050  3.7255  3.657    0 2.145 3.566 3.099 2.295 1.818 1.432 0.905 0.479 0.424
