!  t (Gyr) =   0.0080
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.010  1714.   -3.70  4.02  0.161    1.000  12.64  11.29  10.47  
 0.015  2280.   -3.05  4.05  0.192    1.000  10.22   9.63   9.22  
 0.020  2525.   -2.65  3.95  0.248    1.000   9.25   8.71   8.34  
 0.030  2699.   -2.29  3.88  0.329    1.000   8.39   7.86   7.52  
 0.040  2784.   -2.22  4.00  0.333    1.000   8.25   7.71   7.39  
 0.050  2849.   -2.13  4.04  0.353    1.000   8.04   7.49   7.19  
 0.060  2903.   -2.05  4.07  0.375    1.000   7.85   7.30   7.01  
 0.070  2948.   -1.97  4.09  0.396    1.000   7.68   7.12   6.84  
 0.072  2956.   -1.96  4.09  0.401    1.000   7.64   7.08   6.80  
 0.075  2968.   -1.93  4.09  0.411    1.000   7.57   7.01   6.73  
 0.080  2986.   -1.89  4.09  0.424    1.000   7.48   6.92   6.64  
 0.090  3017.   -1.83  4.09  0.445    1.000   7.34   6.77   6.50  
 0.100  3045.   -1.80  4.13  0.453    1.000   7.28   6.70   6.43  
 0.110  3069.   -1.74  4.12  0.477    1.000   7.15   6.56   6.30  
 0.130  3115.   -1.64  4.12  0.517    1.000   6.92   6.33   6.07  
 0.150  3155.   -1.56  4.13  0.554    1.000   6.73   6.13   5.88  
 0.170  3192.   -1.48  4.12  0.593    1.000   6.55   5.93   5.69  
 0.200  3234.   -1.40  4.13  0.637    1.000   6.35   5.73   5.49  
 0.300  3364.   -1.17  4.15  0.765    0.996   5.84   5.18   4.95  
 0.400  3518.   -0.99  4.17  0.864    0.926   5.44   4.75   4.53  
 0.500  3669.   -0.84  4.19  0.944    0.449   5.13   4.40   4.19  
 0.600  3798.   -0.72  4.21  1.010    0.087   4.88   4.13   3.94  
 0.700  3923.   -0.61  4.22  1.071    0.104   4.66   3.90   3.73  
 0.800  4049.   -0.51  4.23  1.133    0.173   4.43   3.69   3.53  
 0.900  4184.   -0.41  4.24  1.192    0.282   4.22   3.50   3.35  
 1.000  4327.   -0.30  4.24  1.256    0.448   4.00   3.31   3.18  
 1.100  4481.   -0.20  4.24  1.321    0.630   3.78   3.14   3.02  
 1.200  4647.   -0.09  4.23  1.398    0.785   3.54   2.96   2.85  
 1.300  4837.    0.04  4.21  1.489    0.882   3.29   2.76   2.66  
 1.400  5064.    0.18  4.17  1.602    0.938   3.00   2.53   2.44  
